lambda,risk_teacher,risk_pure,cross_risk,D,risk_derivative,xi_oracle,xi_derivative,risk_optimal,gain,gain_derivative,gcv_teacher,gcv_pure,gcv_cross,D_gcv,xi_gcv,kind,seed,n,p
0.20000000000000004,1.5376250402082303,1.457708669047632,1.4648723447754906,0.06558901970488144,-0.7275269543273996,1.109220655531846,1.1092206555318493,1.456926247688618,0.08069879251961236,0.0806987925196128,1.390139089137982,1.331830610407767,1.3320411983193077,0.05788730290713362,1.0036378946844084,isotropic,3,400,200
0.27789909887462755,1.4950338421334233,1.459410838382722,1.439448782573899,0.07554711536834684,-0.40003770997905236,0.7357668031202359,0.735766803120235,1.4541362005600642,0.040897641573359025,0.04089764157335893,1.354662258650688,1.3461046912167831,1.318469877606721,0.0638271946540292,0.5670370010799518,isotropic,3,400,200
0.38613954577665,1.4658364005075677,1.4839966764752455,1.4335317412413453,0.08276959450012221,-0.16732116469058989,0.3902962127738187,0.3902962127738165,1.4532280143410123,0.012608386166555246,0.012608386166555111,1.336949916869983,1.3832876569614312,1.3264205735989303,0.06739642663355383,0.15622999314641098,isotropic,3,400,200
0.536539159055945,1.453415342894793,1.5298128709564771,1.4484092716607235,0.08640967052982258,-0.01866059969556563,0.057934154862234195,0.05793415486223219,1.453125320388667,0.00029002250612595107,0.000290022506125931,1.3391920542896225,1.44059896962629,1.3556809377480914,0.06842914841972947,-0.24096286216116075,isotropic,3,400,200
0.7455187440629881,1.4595092046005425,1.592378374946851,1.4829736546386953,0.08594027027000276,0.06294798145590388,-0.2730320717451025,-0.2730320717451022,1.453102657194266,0.006406547406276335,0.006406547406276318,1.3615045087495,1.5131278131702983,1.4038790302082687,0.06687426150326115,-0.6336447013579707,isotropic,3,400,200
1.0358949358462421,1.483845805047706,1.664907699214114,1.5337661632432367,0.08122117777534688,0.09638112219314936,-0.6146224366951143,-0.6146224366951129,1.4531636328528759,0.03068217219483003,0.030682172194829892,1.4019415836954376,1.594302107245014,1.46673852379213,0.06276664335619175,-1.0323467471245666,isotropic,3,400,200
1.4393713460023037,1.524090245991486,1.7394816597818084,1.5954672865416326,0.07263733269002905,0.09917807624611741,-0.982649526170508,-0.9826495261705075,1.4539516309154312,0.07013861507605469,0.07013861507605462,1.456790180038542,1.6767504749684892,1.5386121875678231,0.05631627987138499,-1.4529015005278398,isotropic,3,400,200
2.0000000000000004,1.576178041008006,1.8086949590804222,1.6618377558857818,0.06119748831686443,0.08565971487777577,-1.3997259893127054,-1.3997259893127052,1.456277911856467,0.11990012915153898,0.11990012915153897,1.5211250224737392,1.7535229393651293,1.613310147193368,0.048027667452132494,-1.919417069577791,isotropic,3,400,200
2.7789909887462754,1.635021700508255,1.8672213822268837,1.726913306231956,0.0484164702712267,0.06613307210841828,-1.897941035538705,-1.897941035538707,1.4606168511836997,0.1744048493245553,0.17440484932455566,1.5895639123378986,1.819356482017715,1.6850971065984153,0.038726181158783124,-2.466889101944142,isotropic,3,400,200
3.8613954577664997,1.6954346341251718,1.912641636757034,1.786068704599367,0.03593886168347186,0.04694368730967513,-2.5218959707863395,-2.5218959707863386,1.4668649369803337,0.22856969714483813,0.228569697144838,1.6570811121442197,1.8715140605397027,1.7495873182309525,0.029420536222017457,-3.144273285457791,isotropic,3,400,200
5.36539159055945,1.7530005681992422,1.9452479418219069,1.8365849069418452,0.025078696137458202,0.031156845621360434,-3.3328821516266625,-3.33288215162667,1.4744238174485038,0.27857675075073834,0.2785767507507396,1.7196823891297406,1.909854688820337,1.8042472636500237,0.021042550650030023,-4.018755897358979,isotropic,3,400,200
7.455187440629877,1.804631104489423,1.9671002572431096,1.8776015468368832,0.016528268058766376,0.01957574988652328,-4.414887397034781,-4.4148873970347715,1.4824748182135679,0.3221562862758551,0.32215628627585374,1.7747762615398044,1.9361683618848777,1.8483712031740538,0.014202217076574541,-5.181933302205229,isotropic,3,400,200
10.358949358462416,1.8487028122228892,1.9809129414323574,1.9096297867617396,0.010356180131767204,0.011763157136988606,-5.883151293589328,-5.88315129358933,1.490260203150168,0.3584426090727213,0.3584426090727217,1.8211896080056016,1.953168135224368,1.8826333865374152,0.009090970155138933,-6.758770239398567,isotropic,3,400,200
